customer_tweet_id,customer_text,support_text
1764449,@AppleSupport That query is sorted. But have found I have a problem sending mail from my iPhone 7 since upgrading to 11.1  will this be sorted soon? I use it a lot..,@530777 We can look into the Mail app with you more. Send us a DM with more details on what is happening when you try to send a message. https://t.co/GDrqU22YpT
1408421,@AppleSupport WHY EVERY TIME DEKID TYPE (i) THIS HAPPENS. I️,"@447356 Let us know via DM which device you are having this issue on, then we can help out with it from there. https://t.co/GDrqU22YpT"
1746856,@AppleSupport how do I get rid of this on my lock screen? Been stuck on there for weeks https://t.co/owoDTgKwaE,@526630 We'll be happy to assist as best we can. What version of iOS are you currently running? Are you seeing this 100% of the time?
1774191,@533197 My phone never glitched until the new iPhone came out @115858,@533196 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
433060,@AppleSupport iPhone 6+,@217996 Which iOS 11 version number do you have installed? Tried any steps so far?
408473,So @AppleSupport your High Sierra OS upgrade has bricked my MacBook Pro. Can't even find the start-up disk or restore back-up.,@212371 We're happy to help out. Let's meet in DM to go over what you have tried and steps to move forward. https://t.co/GDrqU22YpT
2773226,@115858 I switched mobile phone network last Thursday. My apple phone was locked. 5 days on still locked. Does this make me want to purchase another Apple product? No. Poor service.,@775108 We know how important it is to have a working phone. Can you provide us with the details of your phone being locked? We'll take it from there.
556983,@AppleSupport Updated prior. Turned all my notifications off. Had no problem. Just turned them back on and it shut down. Turned them all off again. Still shutting down.,@250055 We'd like to take a look at your settings a bit closer. Please reach out to us here so we can continue: https://t.co/IBIY3vMgPj
762533,Yo @115858 your latest update is killing my battery... was working great with previous IOS,@127032 We'd like to look into this. DM us and we'll work from there. https://t.co/GDrqU22YpT
1470870,@184078 @AppleSupport Pcq si c’est pour faire le 123 comme y’a 10 ans j’achète un 3310 et un forfait @27534,@461416 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
1650104,This I️ glitch with iPhone is getting on my last nerve 😐😐 @115858 fix it please,@504014  Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz
1215568,Hey @115858 why has my iPhone been working like crap since I did a software upgrade last week?,@405235 We'd like to help. Tell us more about what's going on to continue. https://t.co/GDrqU22YpT
2496375,@AppleSupport 3.2 gigs to 5.7 gigs. Baffling...,"@712421 Let us know via DM which device this is on, then we can help look in to this from there. https://t.co/GDrqU22YpT"
123124,Hey @123765 and @115858 why is Twitter app unusable on iOS without losing my podcast/music I’m alreaDy listening to? This only started today and it’s way annoying.,"@143499 We'd like to know more to assist. Which iOS are you currently using? Also, we'd like to clarify do your podcasts and music stop playback when opening the Twitter app? Let us know the details and we'll continue."
34620,"When searching fot ""GOT"" Apple TV app shows Cmore but not @1561 Nordic, even tho I only have HBO installed. @AppleSupport",@123503 Let's get you in touch with our Apple TV experts so they can assist further. Reach out here: https://t.co/IBIY3vMgPj
480595,@AppleSupport Tried to re-download Instagram and was told I need billing information. Typed in my information exactly and it told me my information was wrong. Please fix this ASAP.,@229215 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT
1778420,(I️) A? is messed up on the 📱 right now! 🍎Please fix soon!!🙏🏿 @115858,@534336 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
813342,@AppleSupport info sent,@313811 Thanks! We'll continue our conversation there.
1482354,@AppleSupport your update fucked up my phone. I want a refund😑,@464190 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT
1895409,@AppleSupport All I want to do is sign into the @118721 store but it says my Apple ID hasn’t been used with the store before and won’t sign,@564951 Thanks for reaching out. Are you able to sign in to our website? https://t.co/ggVDoc1mU7 Let us know via a DM. https://t.co/GDrqU22YpT
1091262,@AppleSupport They just contact me,@377474 We want to help.  Send us a DM to let us know which country you are located in. https://t.co/GDrqU22YpT
1414825,"@AppleSupport 2) iOS11 básicamente rompió hizo que mi TouchID falle 3-4 veces al día, llegando a hacer mini resets del móvil, parando música, podcasts...",@448798 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
2555398,@AppleSupport My phone was running perfect before iOS 11.,"@725636 Thanks for the details. Did you update right from iOS 10 to iOS 11.1.1? If not, did you notice the slowness on earlier versions of iOS 11? 

Additionally, what country are you located in? Let us know in DM. https://t.co/GDrqU22YpT"
44608,@AppleSupport And i cant fix it i had to turn off auto correct and check spelling,@125900 Let's get this figured out. Which iOS is installed? Please DM us. https://t.co/GDrqU22YpT
1449186,Same. Help @115858 pls https://t.co/T0Xq4bc2Fr,@447923 Let's check this out together. Follow us to DM and we'll take a closer look. https://t.co/GDrqU22YpT
2028671,"@AppleSupport It doesn't shut it off completely though, when I'm listening to music on the go it randomly turns on and im not even close to touching home",@599920 Let's take a closer look together. Please DM us and we can go from there. https://t.co/GDrqU22YpT
1134255,Dammit @115858 would you please give ppl the option to turn the annoying screenshot off! Pretty please! Thank you 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,@387255 We always accept feedback to help improve our products! Please visit our Feedback page: https://t.co/oWzjJxkvlC
2352114,"Oye @115858 @AppleSupport el
Fin de semana tome varias selfies con el #IphoneX y no se guardaban en ninguna carpeta !? Que sucede ?",@679740 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs
983003,@AppleSupport this battery drain is insane! From 100 to 17% overnight. Really?! #ios1103 #batterydrain,@353051 Send us a DM and we'll have a closer look at this together. https://t.co/GDrqU22YpT
1792853,@116333 2/n have purchased 2 Mac books  in  Last 3 yrs n both are in trash now .. one just crashed today within a month of purchase.,"@538501 We'd love to see how we can assist. To begin, please DM us details about what you're experiencing with your Mac. https://t.co/GDrqU22YpT"
1918099,Hey @AppleSupport your update has rendered my phone useless!,"@571257 That's not the experience we want for you, and we're here to help. DM us what's going on, and we'll get started. https://t.co/GDrqU22YpT"
2955428,"@AppleSupport I can put in English ;)
What’s wrong with #Apple music ?? Can’t seem to even activate it. Screen remains blank.","@815839 We're happy to look into this with you. Do other apps, such as the App Store or iTunes Store load properly?"
2711883,"New Mac… shift key already sticking, so frustrating @AppleSupport",@761387 Congratulations on your new Mac. Let's find out what's causing the shift key to not respond quickly. Please meet us in a DM and share a few details: https://t.co/GDrqU22YpT
2261807,"@AppleSupport Restaura por favor, eu nunca te pedi nada!!! https://t.co/pXX6lZ7J5M","@658511 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt"
2981930,@115858 my phone has been so fucked up since the upgrade and it’s so slow I can’t fucking stand it 🖕🏻 but I hate android too much to switch 🙄,"@822441 Having your iPhone running smoothly is what we want for you, so let's get to it. Which model do you have and is iOS 11.1.2 the version installed on it?

Any steps tried so far and which country are you located within? DM us here: https://t.co/GDrqU22YpT"
686846,@AppleSupport I updated my 5s to 11.1.2 now it shut downs on its own and gets stuck at apple logo loop.  Tried restoring with compatible firmwares but still has the same problem. What do I do?,"@283998 Issues after updates are never fun, but we're here to help get that sorted out with you. Just to be clear, you've tried the steps here: https://t.co/8MvHMFZ83h and your iPhone is still stuck on the Apple logo when it boots?"
2862171,@115858 what is up with my battery draining since new update? I never had an issue before! Ever! #unhappyapplefan #rottenapple,@795098 We'd like to help find the best solution because having the battery life last is greatly important. DM us which device you are using and we'll help. https://t.co/GDrqU22YpT
1522667,@AppleSupport 😡,@473156 Go ahead and send us a DM with more details. We will go from there. https://t.co/GDrqU22YpT
407101,@AppleSupport @115858 come on my 6s is mad slow now that I updated and it also says no internet when I’m clearly connected.such trash #iOS11,"@212031 Let's work together &amp; check this out. In Settings &gt; General &gt; About, are you on 11.0.2?"
184432,"@AppleSupport either i can’t do maths or my iphone is seriously messed up! 

why is a 1 minute 44 seconds voice recording not sending on messenger? 

it is not longer than 180 seconds long and it’s nowhere near 180 seconds!! https://t.co/z7o07GSQif",@159409 Let's look at this closer. What software version are you running?
215364,Hey @115858 your new update has killed my phone if it’s battery life. Come on.,@167171 We want to help. Which iOS version is your device currently running? You can locate this under Settings &gt; General &gt; About.
2718240,@AppleSupport when can we expect a fix for iOS 11.0.1? Phone somehow snoozed my alarm twice and never went off. Had to call into work late.,@762881 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT
1755168,Lol what’s the fix @AppleSupport,@528591 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
304443,@AppleSupport Is there a rough rough estimate on how much replacing+installing new iphone6s battery would cost at an Apple store?,@188702 You can check out service costs here: https://t.co/HKf1ErZuaH
646918,Bro this iPhone 7 wildinnnn wtf is wrong with my phone @115858,@273657 We'd love to help you with what's going on. Can you tell us more about your iPhone's behavior?
2835760,Facetime authentication error on mac after updating to MacOS High Seirra. Need a solution for this @AppleSupport . Tried everything,@789321 We'll do all we can to assist with this FaceTime issue. Can you give us the exact text of the error message you're getting and tell us what steps you've taken so we don't ask you to repeat anything?
2347646,@AppleSupport updated my phone and I still get the question marks 😤,@678703 We are here to help. Is this when you are typing or post from others? Let's meet up in DM to continue. https://t.co/GDrqU22YpT
2378074,Using a loaner #iPhone from work (my 6’s battery died and waiting for my X to ship) and noticed iOS 11 is using 10gb of a 16gb phone. Anyone else have this problem? cc @119462 @123857 @116333 #apple #tech https://t.co/odc5FMvLQR,"@685825 Hey there, thanks for reaching out. Take a look at this article regarding this: https://t.co/GHSbdb0Gux

DM us any quetions you have, we are here to help. https://t.co/GDrqU22YpT"
2372253,Okay if this I️ shit could stop that would be much appreciated @115858,@684429 Let's look into this for you. iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating. This page should help: https://t.co/ahjigcvFRG DM us if you run into any issues. https://t.co/GDrqU22YpT
2554031,@AppleSupport I lost date for that day only!,@725346 Thanks. DM us if everything is working as expected now and we'll look into this further with you there. https://t.co/GDrqU22YpT
889186,@AppleSupport Waiting for next update!!,@331102 Thanks for confirming that you're seeing it twice. We can work on this issue with you but would definitely want to get you back on the latest iOS version so we can properly isolate the issue. DM us if you're interested in doing that and we'll work with you there. https://t.co/GDrqU22YpT
2286749,"@AppleSupport Restarting didn't help, but connecting to iTunes did. Now on iOS 11.1.1 Thanks.",@384159 Fantastic! Thanks for keeping us posted. Feel free to reach out if any questions come up.
56982,"@AppleSupport I don’t like the screen shot update. When I do a screen shot I simply want it saved to my phone, not all this extra editing. 👎","@128906 We'd like to help. You can tap on ""Done"" to immediately save a screenshot without edits: https://t.co/rv9TRgCtbC"
2035830,My iPhone is all kinds of fucked up @115858 better get their shit together,"@601886 We'd like to see how we can help with your iPhone. To get started, send us a DM with what's going on. We'll meet you there. https://t.co/GDrqU22YpT"
2903715,@AppleSupport usaram minha conta do apo store pra baixar um app em outro celular sem ser o meu! Tem como eu apagar esse app pelo meu cel?,"@378852 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt"
1099682,@AppleSupport  you charged me an extra fee for my Spotify Account. I’d like a refund and for Apple to cancel the subscription.,@192465 We'd be glad to get you pointed in the right direction for help. Reach out to our iTunes Store team: https://t.co/SDIe7UiyJN
2736445,How i got an 8+ and still see then stupid ass boxes come on bruh @115858 @AppleSupport,@766829 We want your keyboard working for you; we'll do all we can to help. Let us know in DM what iOS version is installed on your device. We'll continue from there. https://t.co/GDrqU22YpT
1735984,@524128 @AppleSupport I️ wanna know the same thing😭,@525629 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1773248,@AppleSupport fix the got dam I️ glitch or I’m switching to android,@532949 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2572066,"it’s been a week, when is it going to get in order @115858 @AppleSupport https://t.co/SwKxoxqvkq","@322608 We'd love to help! Did you receive an email previously, letting you know your pre-order was available to download? If so, did you follow those steps to download the complete pre-order? Here's a guide on that: https://t.co/df4pj0iEqO"
233955,@AppleSupport the price shown is 690 but was on offer for under 300 Taking a screenshot accidently bought it.refund. email support is high https://t.co/XbdpIG3kPx,"@171704 For further assistance with this issue, we'd recommend reaching out to our experts here: https://t.co/SDIe7UiyJN"
2950973,@AppleSupport yeah sounds play from other videos &amp; notifications. i’m using itunes 12.7.1.14 on a macbook pro touch bar,@814893 Thank you. We’d like to look into this further with you.  Please send us a DM confirming if the issue persists after restarting your MacBook. https://t.co/GDrqU22YpT
557899,@AppleSupport At times My iPhone 7 gets really hot when I am browsing and then starts draining the batt at full swing. Kindly advise.,"@250316 Let's help get this resolved. To start, are you using Safari to browse the web? Next, does the behavior only occur when browsing or does it happen elsewhere?

Lastly, what version of iOS are you currently running under Settings &gt; General &gt; About?"
2038162,@AppleSupport Hey I was wondering what could possibly fix my IPhone 6 from randomly shutting off. Just started happening about a week ago.,@602646 We'd be happy to look into this with you. Which country are you located in? Can you please reply in DM? https://t.co/GDrqU22YpT
1930903,Is there a bug on you latest update? Super short battery life and the phone keeps lagging @AppleSupport,@335887 Thanks for reaching out to us. Please send us a DM with more details about your issue and we can go from there. https://t.co/GDrqU22YpT
2058385,.@115858 yall definitely slow down older phones after new updates. my phone’s never been this slow until i updated to ios 11,@608774 Please send us a DM. We'd like to work together and see what we can do about getting your iPhone back up to speed. https://t.co/GDrqU22YpT
1978171,@585740 @AppleSupport Would be nice... really getting fed up with this,@585739 We'd like to help with any issues you're seeing. Please let us know which version of macOS you're using &amp; steps you've tried.
2944538,@115858 I reluctantly updated the new OS and all my files from the past 5 years are gone now. How am I supposed to go on?,@813412 We are here for you. Which device did you update? Where were the missing files stored? Do you have a backup of your device?
2888387,Got a call my CC info &amp; SSN were accessed. Checked all of my stuff and there’s two fake domains in my Passwords that have no site name &amp; won’t delete even when I️ reset my Keychain. @AppleSupport you wanna spot me for a new identity orrr? https://t.co/wb5ru2w4AN,@697403 We’d like to look into this with you. Please send us a DM to let us know details about the call you received. https://t.co/GDrqU22YpT
574921,@255250 @AppleSupport did you fix this? Currently happening to me,@255251 We can work together to get this figured out. DM us and we'll work there. https://t.co/GDrqU22YpT
1680053,wtf is up with @115858 .. fix this shit ! i️,@510894 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2790658,"Hate restarting my phone. I have to sit through fifty-something unread text alerts every time I restart it. Fix this, @115858.","@778868 We want you to enjoy your iPhone, and we'll do all we can to help. To get started, DM us which iOS version is currently installed. We'll continue from there: https://t.co/GDrqU22YpT"
1301872,@168151 @115858 why doesnt the nhl app work anymore since the new update?!?,"@424251 Be sure to check for updates for the app. If there's no change after updating, tell us a bit more about what's happening."
1662181,@AppleSupport Ok. Ready when you are,@506897 We have received your DM. We will work with you there.
2021908,@115858 See wtf it’s doing it,@597975 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsr9Kz9 https://t.co/GDrqU2kzhr
1475426,"Hey @115858 I️ def update my phone.....why do I️ still see a box, exclamation mark, and question mark whenever the letter I️ is used 🤔🤨🧐",@462518 We can offer some guidance. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT
2377068,Well @AppleSupport I️ guess I️ will just txt like this. 🤷🏽‍♀️,"@683801 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6
If you need more help, meet us in DM. https://t.co/GDrqU22YpT"
2547112,@AppleSupport Nothing at all as far as I can tell. It’s happened ever since I transferred to my iPhone 8+ from iPhone 6s. Another issue is album artwork is all mixed up,@723893 Do you use Apple Music or did you originally sync through iTunes on a computer? Let us know more in DM. https://t.co/GDrqU22YpT
1247821,@115858 this new update has my phone jacked up 🙄😡,@412764 Let's look into this together. Send us a DM with more information about what you are experiencing. https://t.co/GDrqU22YpT
1447270,"@115858,a thread. Basically,I love iPhone&amp;its convenience even with all the bugs in iOS11,but I prefer the album art bigger&amp;shakeForNextSong😆 https://t.co/gl9HPbbkRu","@453338 We love feedback, let us know your ideas here:

 https://t.co/eTPVYVFyd8 https://t.co/GDrqU22YpT"
2945628,"I’m very displeased with the @115858 iPhone update. My phone is so incredibly slow now, it freezes all the time, and the apps don’t work👿👿",@813645 That’s not the experience we want you to have.  Send us a DM letting us know which country you are located in to begin. https://t.co/GDrqU22YpT
2799486,@115858 I’ve had it with your shit bruh come out with an update that will fix my phone from tripping balls please oh and battery life that will last longer FSU’s playoff hopes at the beginning of the season thx fam,@148895 We can help look into your battery life. Reach out to us in DM and we will look into this with you. https://t.co/GDrqU2kzhr
1710929,@AppleSupport and I've done this plenty of times btw. I'm a artist all I do is send my music. So I really need this to work again.,"@518297 When trying to copy it, do you receive any error messages? Let us know more in DM. https://t.co/GDrqU22YpT"
268230,@AppleSupport hi wanna run some battery health diagnostics on my phone?,@179959 Which device and iOS version are you using? Let us know in DM to begin. https://t.co/GDrqU22YpT
2479075,@AppleSupport I’ve just hard reset my iPhone 8 Plus with power and volume button. I’ll see what happens when I start playing some music and let you know 🎶,@708491 Keep us posted.
2633101,Apple Music search is broken on IOS @AppleSupport,@743465 You've come to the right place for support with your Apple products. Can you describe the issue you're experiencing? We'd love to help.
1539337,"@AppleSupport Mostly when I use Jupyter in Opera, with local Python. I have not had such a problem when I had El Capitan.","@477151 Alright, good to know. Have you checked to make sure that you've installed all available app updates via the App Store?"
702907,@AppleSupport Got it figured out. Thanks!,@287896 Happy to hear that. Please feel free to message back if you have any other questions. We're online every day from 5am-8pm PST.
1089881,@115858 Why the fuck is my IPhone bent...?,@377128 We can help you. When did you first notice this issue with your iPhone? Let us know the details via DM. https://t.co/GDrqU22YpT
1744832,@115858 yooo pls fix https://t.co/dKSMnsGEmX,@526152 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
1339689,@AppleSupport what does ‘purchase of this item is not currently available. This item is being modified’ mean?,"@380000 Let’s look into this together. Tell us where you’re seeing that message, and we’ll go from there."
1081500,@AppleSupport Thanks &amp; does this work if it is not connected to a wifi?,@375118 The erase would happen whenever the device next connects to data or Wi-Fi.
438071,@AppleSupport Um why does my phone run out of charge within a few hours??,"@219076 This article has some great battery tips. We recommend a full charge after making any changes.
https://t.co/TpjqFpkUpb"
1725667,@115858 @AppleSupport hey guys. been sitting at you apple store in spokane WA for over 8 hours with no resolve. They lack customer care.,@521907 We'd like to hear more about your experience. Send us a DM and we'll look into this. https://t.co/GDrqU22YpT
1758996,I guess it’s a good thing @115858 didn’t fix that WiFi turning back on by itself problem 🙄 I love draining my battery for no reason,@139842 To disable Wi-Fi on iOS 11 you'll need to turn it off in your Settings menu: https://t.co/JxDWijvIa0
2020630,".@AppleSupport Your ios 11.0.3 “update” downloaded automatically, when I declined to download. My iPhone freezes and loses battery life fast",@597567 We know it’s important for your iPhone to run smoothly. DM us when you notice when it becomes unresponsive to continue. https://t.co/GDrqU22YpT
757854,@AppleSupport iOS11.0.3,@301101 Thanks so much for verifying. We'd like to gather more information so we can better assist you; please meet us in DM to do so: https://t.co/GDrqU22YpT
538665,"@116333  Hello Tim, my MacBook died !!! I'm in trouble and I can not find a solution !! I have a MacBook Pro late 2011 C02GWESJDV13 and I do not find battery for change in Brazil. Would you help me? Please!!!!","@244888 We can take a look into that for you. To start, can you DM us some more info using the link below? https://t.co/GDrqU22YpT"
1910231,Since I updated my iOS my @115858 iPhone has been cutting out streaming music and making it's own decisions with when to use WiFi. It sucks.,@569075 Let's see what we can do to help with your streaming and Wi-Fi issues. Where are you streaming from? Let us know in DM. https://t.co/GDrqU22YpT
1049413,@115858 aye bruh my phone done froze like 5 times under the IOS update was up with that y'all straight?,@368026 We're here to help. Is this happening with a specific app? Do you have iOS 11.0.3? When did you install the update?
2177959,@115858 it is a NIGHTMARE to set up a new phone… now it seems that I MUST have access to the old phone number to recover MY information!!!,@359474 Let's look into this together. Send us a DM by clicking on the link below. We'll go from there. https://t.co/GDrqU22YpT
2294627,@AppleSupport  my contacts on iPhone 7 https://t.co/3qtsysyc55,@439789 Let's see what we can do to help. Send us a DM with your current iOS version and more details about what you are experiencing. https://t.co/GDrqU22YpT
41556,@AppleSupport locked out of my iPad. Followed instructions but it hasn’t worked. Please help. Also I want to turn this feature off,@125135 Let us know exactly what you see on your display currently. This will help us determine the best next steps to assist.
2237209,I updated my phone again and still see the boxes for emojis. Fix this shit ASAP!!! @AppleSupport,@513915 We'd like to gather some more information for better troubleshooting. Can you DM us the country you are located in? https://t.co/GDrqU22YpT
1774062,@AppleSupport fix the 👁 shit,@533169 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
2141618,Seriously? @115858 @AppleSupport This is not good enough! Look how slow it is! #apple #iPhoneX #iPad #Obsolete https://t.co/M3TmFUSNc7,@629737 We'd like to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT
2502050,"@AppleSupport why does my music app now not work? Whenever I go on it it just crashes, I love to listen to music but I can’t now because of this bug. Please respond",@713680 Let's get working on this so you can enjoy your music again. Are you an Apple Music subscriber or do you purchase and/or sync music through iTunes?
2291689,@AppleSupport my notifications have been messed up since updating to iOS 11.1.1. Is this a known issue? When will it be fixed? https://t.co/BnLWlaiBAF,"@665565 We're happy to look into this issue with your Notifications. To start, what's the iOS version you're currently using? Have you updated to iOS 11.1.2 yet?"
1703976,@AppleSupport someone figure out why the I’s I️ type turn into squares with question marks in them🙃,@516517 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9
172968,"@AppleSupport Houston, TX, USA",@129828 Thank you for the DM. We'll continue working with you there.
