customer_text,gold_intent,predicted_intent,classifier_confidence,top_retrieval_similarity,decision,decision_reason,intent_correct
@AppleSupport But what if I want to use iCloud for those services? It didn’t drain my battery before IOS11. Don’t put features on a phone if they are unusable. Just feedback to the development team they need to sort out an update to fix,apple_app_service,battery_charging,0.7628890126941071,0.7239373922348022,HUMAN,Classifier confidence is below the safe handling threshold.,False
"What the hell @115948 @AppleSupport, my music app just crashed and offloaded all of my music to the cloud.",apple_app_service,apple_app_service,0.9150722859182633,0.8084768056869507,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"@AppleSupport my 5 months old iPhone’s battery is draining, specially since I updated iOS. Any tips?",battery_charging,battery_charging,0.9445865887450082,0.8426860570907593,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport It’s the only WiFi I connect to so I can’t really answer that,connectivity,connectivity,0.5908473462895608,0.870694637298584,HUMAN,Classifier confidence is below the safe handling threshold.,True
"@AppleSupport lost 4 months of photos after uodating to ios11.
Ridiculous. Done with Apple products.
#ios11 #appleproblems #lostphotos",photos_media,photos_media,0.7223677530710704,0.8336977958679199,HUMAN,Classifier confidence is below the safe handling threshold.,True
"Hello @AppleSupport, why is it that when I type the letter “eye”, it autocorrects to this I️ I️ I️ when I️ hit “post”? Please help! https://t.co/V8wveVR71o",keyboard_text_input,keyboard_text_input,0.8814203034151544,0.8397680521011353,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport my girlfriend has moved to an android phone from iphone shes deactivated imessage but my message sitll go through as imessages she cant see why?,messaging,messaging,0.951763107293371,0.6984511613845825,HUMAN,Retrieved historical cases are not sufficiently similar.,True
@AppleSupport Thank you! Messages is the only one. Version is 11.1. I restores the phone from an iCloud Backup from an iPhone 8.,messaging,messaging,0.6590256129632419,0.7464276552200317,HUMAN,Classifier confidence is below the safe handling threshold.,True
@AppleSupport will I get any money back if I cancel AppleCare+ after having it for a year? In the UK!,purchase_payment_order,purchase_payment_order,0.8939272002150244,0.7659826278686523,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport Yes its my everyday wifi,connectivity,connectivity,0.6755208179195125,0.8242971897125244,HUMAN,Classifier confidence is below the safe handling threshold.,True
@AppleSupport My iPhone 7 cellular and WiFi signal is a joke since I switched to iOS 11 😡,connectivity,software_update,0.7499643754434949,0.7687071561813354,HUMAN,Classifier confidence is below the safe handling threshold.,False
@AppleSupport I’ve installed the latest update .This whole 11 series updates have screwed my phone to another level.an iOS hanging is money gone the drain,device_performance,software_update,0.9876078860273518,0.8712235689163208,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",False
"@AppleSupport hi, I lost my iPhone about two weeks ago, I still enable find my iPhone for it, and today my iCloud account was locked. I have unlocked it, but could you check whether someone has tried to log into my iCloud account or why it was locked? Thanks",apple_id_account,apple_id_account,0.9100302963242018,0.6697617769241333,HUMAN,Retrieved historical cases are not sufficiently similar.,True
How do I fix my disabled Apple ID? @AppleSupport #help 🙏,apple_id_account,apple_id_account,0.970001244665341,0.9112523794174194,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport we constantly receive notification of enabling imessage and we hate it. Why do I need to send sms to enable iMessage?,messaging,messaging,0.9717887060226719,0.7569188475608826,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"@AppleSupport hi, I'm having trouble installing ios 11 and my phone keeps saying there's an error. What should I do?",software_update,software_update,0.978944061905463,0.9303725957870483,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"@applesupport Help! This activation lock randomly popped up on my iPhone 6 last night. I know my Apple ID but I forgot my password. If I reset my password on iTunes, will it wreck my phone? I’m the original owner of the phone and it wasn’t stolen. Why did this pop up?! https://t.co/zLCnEWFzbI",apple_id_account,apple_id_account,0.929806759510772,0.734065055847168,HUMAN,The request involves an action that requires human review.,True
@AppleSupport Listening music for example.,apple_app_service,apple_app_service,0.897692672001406,0.8683602809906006,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@115858 this update still hasn’t resolved the “missing” / “lost” pictures issue. https://t.co/2CqVXQrwGc,photos_media,photos_media,0.743920528614073,0.717164158821106,HUMAN,Classifier confidence is below the safe handling threshold.,True
"why since this morning has my phone been freezing badly, lagging and freaking out when I open apps?? @AppleSupport I’ve reset it 4 times 🙂",device_performance,device_performance,0.9117365846440896,0.8407794237136841,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@115858 How do I type now if there is no keyboard at the Text app. I hate iOS 11.1. The worst ever.,keyboard_text_input,keyboard_text_input,0.6964919312706093,0.7863699197769165,HUMAN,Classifier confidence is below the safe handling threshold.,True
@AppleSupport Can you still purchase AppleCare + for the iPhone after the 60 days window?,purchase_payment_order,purchase_payment_order,0.9094986411865242,0.8405740857124329,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"@AppleSupport No, they all are. A few apps that I use often include Spotify, YouTube, Instagram, Snapchat, VSCO, Facebook. Clock, notes - all slower.",device_performance,apple_app_service,0.8186269750869659,0.6730802059173584,HUMAN,Retrieved historical cases are not sufficiently similar.,False
@AppleSupport why is it that iMessage is sending my iMessages as texts to only one specific person and not others?,messaging,messaging,0.9705177314465573,0.825334906578064,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport what is up with no keyboard when texting?  Didn’t happen with ios10. https://t.co/QBeapaA4jy,keyboard_text_input,keyboard_text_input,0.47093804479643203,0.7508270740509033,HUMAN,Classifier confidence is below the safe handling threshold.,True
@AppleSupport needs to tell me why only their phones are kicking me off of wifi but my laptop is perfectly fine.,connectivity,apple_app_service,0.4221415860766163,0.75516676902771,HUMAN,Classifier confidence is below the safe handling threshold.,False
@AppleSupport why why why have all my photos and videos disappeared,photos_media,photos_media,0.9733306140428137,0.92716383934021,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"Went back to iPhone. Thought it'd be more reliable than Android.Everything freezes/crashes,phone overheating. Get your shit together @115858",device_performance,device_performance,0.8404232386848474,0.829965353012085,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport I have credit on my account but I can't buy nothing because of billing information,purchase_payment_order,purchase_payment_order,0.907057664240131,0.8647059202194214,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
My phones freezing again ☹️ @AppleSupport,device_performance,device_performance,0.9413645533221487,0.9184635281562805,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport I’m using my laptop &amp; most of my purchase are no longer being showed in all my purchase or not on this device,purchase_payment_order,purchase_payment_order,0.567233883656644,0.7382550835609436,HUMAN,Classifier confidence is below the safe handling threshold.,True
"@AppleSupport Yesterday morning, it freezes then the screen either goes black or back to the home screen. Has turns itself off yesterday and today too 😩",device_performance,device_performance,0.9572558133481838,0.7830326557159424,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport whyyyyyyyyyyyy does my Apple ID always get disabled.,apple_id_account,apple_id_account,0.9095846974387214,0.9139330387115479,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
Who do I speak to regarding registration for Apple Music? @AppleSupport,apple_app_service,apple_app_service,0.6355593766525661,0.7824511528015137,HUMAN,Classifier confidence is below the safe handling threshold.,True
@AppleSupport I was setting up an iPhone and it got locked due to the fact the account pin was wrong,apple_id_account,apple_id_account,0.8052544533841482,0.8050522804260254,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport got me speaking in Spanish cause i can’t get this keyboard thing write with the I️,keyboard_text_input,keyboard_text_input,0.746139823703454,0.7980228662490845,HUMAN,Classifier confidence is below the safe handling threshold.,True
@AppleSupport Basic guys! Basic! iOS 11.0.2 is draining the battery even while charging. Why? Battery life is the most important thing.,battery_charging,battery_charging,0.9921545070764765,0.8712645769119263,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
it has begun... ios 11.1 and i can't download/update apps again @115858,software_update,software_update,0.9996671818357281,0.8776262998580933,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@115858 my 7 is freezing so much. Everytime I power off and try to power on it takes 15 minutes. Also I can't talk only text #pleasehelpme,device_performance,device_performance,0.6012277213457455,0.716045618057251,HUMAN,Classifier confidence is below the safe handling threshold.,True
Got a new phone from apple and is iMessage is not working on my laptop. Help. Plz. @AppleSupport,messaging,messaging,0.9493081578491586,0.7575455904006958,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
Why has my iPhone battery been draining rapidly and randomly turning off with 30% battery life? @applesupport,battery_charging,battery_charging,0.7586433133727012,0.8664830923080444,HUMAN,Classifier confidence is below the safe handling threshold.,True
I’m so confused as to why my iMessage is working for everyone except one contact when they are an iPhone user as well 🤔 @AppleSupport,messaging,messaging,0.8378465822562017,0.7998349666595459,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@343368 @AppleSupport Is Apple pay included or is Apple still cropping out on that one??,purchase_payment_order,purchase_payment_order,0.8410117468525982,0.8068469762802124,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"@AppleSupport why my battery percentage keep draining while charging? And the battery cant charge, its stay at 15%",battery_charging,battery_charging,0.9928958315202434,0.7987216711044312,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
Every time I️ type in the letter after H some stupid symbols show up WHYYYY @AppleSupport,keyboard_text_input,keyboard_text_input,0.8516333874147067,0.8452540636062622,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport I am having a problem typing the word I.T on my keyboard everywhere. Please help! https://t.co/mWYl7d0LMk,keyboard_text_input,keyboard_text_input,0.8308958972695107,0.8233124017715454,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"@115858 help me, my apple id has been disabled. I can reset my password. But i'm forget the security question and cannot reset it. Please help my phone",apple_id_account,apple_id_account,0.944359955259427,0.8212261199951172,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport i have everything turned on and i receive some messages but not all of them.,messaging,messaging,0.8951910148098017,0.8706204295158386,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport I want some answers about my jacked up autocorrecting symbol keyboard situation,keyboard_text_input,keyboard_text_input,0.8000959444536047,0.7369260787963867,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
Okay @115858 wtf is going with the ‘I’ on everyone’s keyboard? Shit autocorrecting to nonsense,keyboard_text_input,keyboard_text_input,0.7895885785560939,0.8862537145614624,HUMAN,Classifier confidence is below the safe handling threshold.,True
@AppleSupport i am not paying $9.99 a month just for the apple music app to not work.,apple_app_service,apple_app_service,0.5040426027931431,0.8137512803077698,HUMAN,Classifier confidence is below the safe handling threshold.,True
"@AppleSupport my phone won’t connect to any WiFi now, how many more faults can there be with this phone 😩",connectivity,software_update,0.8447420928170892,0.8563088774681091,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",False
Can @115858 explain why does my battery drain in minutes ever since I upgraded my os . It’s horrible,battery_charging,battery_charging,0.9567321507847357,0.7991273403167725,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"I just want to update my ios, why is that so hard? @AppleSupport",software_update,software_update,0.9899985527346887,0.8031356334686279,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
The 10th loop of trying to install new software from @115858 WARNING don’t update any of your devices they won’t work and apple is unhelpful. https://t.co/V9g4344BVN,software_update,software_update,0.9721392352735023,0.7071924209594727,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
Anybody else having issues with their iPhone freezing for no reason? @115858,device_performance,device_performance,0.9212834062315508,0.9493945837020874,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport I have an IPhone with applecare+. How it’s work when I give it for reparation in an apple Premium reseller?,purchase_payment_order,purchase_payment_order,0.7898390640535549,0.7450563907623291,HUMAN,Classifier confidence is below the safe handling threshold.,True
"@AppleSupport I’ve got activation lock on my old iPhone, and it’s not recognising the Apple ID I’m putting in,what do I do? 😩",apple_id_account,apple_id_account,0.8219263169323533,0.8235924243927002,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport I’m getting this message when trying to install iOS 11.0.3 it downloaded but won’t install. https://t.co/cvx1jpHzTs,software_update,software_update,0.9854973377648533,0.8769310116767883,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"@AppleSupport Both; also, when I toggle airplane mode on and then off, it turns on wifi and Bluetooth. Even when I don’t do this, after time they turn on",connectivity,connectivity,0.7963644403547184,0.8310564160346985,HUMAN,Classifier confidence is below the safe handling threshold.,True
@AppleSupport  need help it’s saying my Apple ID has been disabled need help,apple_id_account,apple_id_account,0.9538610021665044,0.9179155826568604,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport yes all of my recently deleted pictures photos have been emptied. I do have videos,photos_media,photos_media,0.9832215697268957,0.8442350625991821,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@115858 @AppleSupport what’s going on with autocorrect and the keyboards!! What’s with the boxes? https://t.co/1i63zVWFyW,keyboard_text_input,keyboard_text_input,0.8400578114326533,0.8122027516365051,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport how can i take an activation lock off an iPad?,apple_id_account,apple_id_account,0.6908201312028389,0.7939591407775879,HUMAN,Classifier confidence is below the safe handling threshold.,True
@AppleSupport I want all MY music back on my phone. Why do I constantly have to download it from the cloud.,apple_app_service,apple_app_service,0.5876472848854665,0.7499597072601318,HUMAN,Classifier confidence is below the safe handling threshold.,True
"The latest IOS update is a disaster, can you do something about it ? @115858",software_update,software_update,0.9896713834749038,0.8772749900817871,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
WTF @115858 I SHUT OFF MY PHONE AND ALL MY PHOTOS ARE LOST,photos_media,photos_media,0.8306303752844235,0.8819980621337891,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport any reason why iTunes have taken 27 pound out of my account.. when I pay for Apple Music monthly not happy.,purchase_payment_order,purchase_payment_order,0.7213847927176924,0.8336716890335083,HUMAN,Classifier confidence is below the safe handling threshold.,True
"Hello @AppleSupport I have an issue unlocking my Apple ID , can't remember two of my security questions and the email method is not working",apple_id_account,apple_id_account,0.9451476937438965,0.8111448884010315,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport Of course. I am using an iPhone SE running iOS 11.2 and I am sending SMS text messages.,messaging,messaging,0.9379697274743742,0.7520849704742432,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport Just my phone with the AirPods and sometimes wired Apple pods. And other Bluetooth apparatus.,connectivity,connectivity,0.39518070362324653,0.7750074863433838,HUMAN,Classifier confidence is below the safe handling threshold.,True
@AppleSupport i believe someone has got into my account and changed all my passwords and set off activation lock on my ipad,apple_id_account,apple_id_account,0.8760422369644552,0.8212084770202637,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
So I had to reset my phone because my camera wasn’t working and now I’ve lost loads of my photos that were on my phone 😭 @AppleSupport,photos_media,photos_media,0.9542039425217936,0.8308849334716797,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"Dear @AppleSupport, for the 2nd time in 10 Days all my photos have disappeared except for 12 from 3 years ago.",photos_media,photos_media,0.8666351895355275,0.8395302295684814,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport What others are typing,keyboard_text_input,keyboard_text_input,0.8332093794773107,0.903313159942627,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
so over 7k photos/videos have disappeared from my phone and i think it happened after i updated to the new iOS.. help @AppleSupport ??,photos_media,photos_media,0.8522938819463126,0.7875089645385742,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"@AppleSupport AOL Email, Facebook, Twitter, MyFitnessPal, sky news, bbc news, snapchat, Instagram, WhatsApp, Timehop, Wales online, capital one, imdb",apple_app_service,messaging,0.42425589519170775,0.7091145515441895,HUMAN,Classifier confidence is below the safe handling threshold.,False
"@AppleSupport On vacation, so I don’t know. A coffee shop down the road gave me issues, but public WiFi is always a toss up.",connectivity,software_update,0.38990101385495807,0.712909460067749,HUMAN,Classifier confidence is below the safe handling threshold.,False
"Great God I hate iOS11. My touchscreen keys stick, my phone apps take forever uploading, and autocorrect is crazier than ever. I spend more time correcting autocorrect than do I actually typing. @AppleSupport https://t.co/pi5JD0vLEd",keyboard_text_input,software_update,0.5774063074705996,0.830534815788269,HUMAN,Classifier confidence is below the safe handling threshold.,False
"@115858 @AppleSupport so yeah um, somehow all my photos and videos just disappeared from my phone????",photos_media,photos_media,0.9537140277274758,0.8907995223999023,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport hi I need help. I've been charged for an app purchase even though I cancelled the subscription to do a different package help!,purchase_payment_order,purchase_payment_order,0.9017508271348273,0.8125478029251099,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"@AppleSupport iphone 7+, 11.1.1 and apple music.",apple_app_service,apple_app_service,0.954010197828912,0.8959274888038635,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"@115858 
So, carelessly launching ios version without appropriately trialling it, crashing peoples' IPhones, and then solving the problem by restoring and updating their IPhones, but without any data!
Is that what you are calling professionalism and customer care?",device_performance,software_update,0.9128990737118627,0.7581055164337158,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",False
"So all my photos from this year are gone from my “Camera Roll” album, randomly. but when i go to “Photos” they’re there..... what the fuck @115858",photos_media,photos_media,0.9826741605794294,0.8127571940422058,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"This popped up right now, I have wifi literally right now and cell service?help! @AppleSupport https://t.co/GgKTPMAm6z",connectivity,software_update,0.33245109411384144,0.7356146574020386,HUMAN,Classifier confidence is below the safe handling threshold.,False
"I’m having issues with my iMessages, I’ve taken out my sim and put it back in and still isn’t letting me send messages nether get them. @AppleSupport",messaging,messaging,0.9482150814011066,0.7515432834625244,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
@AppleSupport Everything u sell will drop WiFi and is useless after a while. I’ve got 5 iPads 4 phones all burnt WiFi chips after your endless updates,connectivity,software_update,0.7932007228720129,0.7141222953796387,HUMAN,Classifier confidence is below the safe handling threshold.,False
@AppleSupport  I've got an iPad that says it's charging but seems to be losing battery when it's plugged in. Any ideas?,battery_charging,battery_charging,0.9595764929703945,0.7830632925033569,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"@AppleSupport I paid my bill for @115948 , however my app is asking me to chose a subscription type.",purchase_payment_order,purchase_payment_order,0.8768889084528804,0.7717412114143372,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
"Though I have provivided all security info needed in transferring my apple account to my new iPhone, why am locked out of my account and now having to wait two days for it to be unlocked? Not great service @AppleSupport",apple_id_account,apple_id_account,0.776583723559499,0.7169684171676636,HUMAN,Classifier confidence is below the safe handling threshold.,True
Could @AppleSupport please do something about battery drain. 48 minutes usage has used 42%  of battery. Surely can’t be right? Carrying a charger with me all the time these days. #powertothepeople https://t.co/Wkj9ozTvFr,battery_charging,battery_charging,0.9558143650513757,0.7844758033752441,AUTO-HANDLE,"The intent is confident, relevant historical evidence is available, and no human-review trigger was detected.",True
