customer_tweet_id,customer_text,support_text,gold_label,prediction
2349323,"@AppleSupport On vacation, so I don’t know. A coffee shop down the road gave me issues, but public WiFi is always a toss up.",@143178 Are you able to test your device on a known good connection?,connectivity,apple_app_service
2978309,"@115858 
So, carelessly launching ios version without appropriately trialling it, crashing peoples' IPhones, and then solving the problem by restoring and updating their IPhones, but without any data!
Is that what you are calling professionalism and customer care?","@821401 Hello there. If you're having a current issue with restoring from your iOS backup, we'd like to know more. Reach out to us via DM with the iPhone model to begin. We’ll do everything we can to help. https://t.co/GDrqU22YpT",device_performance,software_update
609779,"This popped up right now, I have wifi literally right now and cell service?help! @AppleSupport https://t.co/GgKTPMAm6z",@264971 We'll look into this together. Send us a DM and let us know what version of iOS you're using. https://t.co/GDrqU22YpT,connectivity,apple_app_service
1429723,@AppleSupport Everything u sell will drop WiFi and is useless after a while. I’ve got 5 iPads 4 phones all burnt WiFi chips after your endless updates,"@548690 Certainly not expected behavior! Rest assured, we'd love to help with your iPad's Wi-Fi. Please DM us all about it to proceed. https://t.co/GDrqU22YpT",connectivity,software_update
1889342,Nothing but iPhone issues since the last two apple iso software updates @AppleSupport 😠,"@563438 Hi there. We'd love to help. Please DM details about the issues you're having, and which iPhone you have. We'll meet you there. https://t.co/GDrqU22YpT",device_performance,software_update
848071,"@AppleSupport soooo since some of the apps I bought are unavailable in iOS 11, do we get refunded money?","@321554 Great question. For more info on this, reach out to our iTunes Store specialists here: https://t.co/SDIe7UiyJN",purchase_payment_order,software_update
1880994,"Really regret installing the new iOS update..slow phone, apps crashing, phone stuck when typing ... thanks @115858 - but not buying a new 1.",@561379 We definitely want to resolve each of these issues with you. Send us a DM with more details and we'll take a look together. https://t.co/GDrqU22YpT,device_performance,software_update
2210690,"Worst iOS update I ever had. Apps keep on crashing! @AppleSupport, what’s up with this? Thanks for making 11 crappier.",@646150 Let's work on this together and see how we can help. Which version of iOS 11 are you on? Check here: Settings &gt; General &gt; About &gt; Version. Are you seeing this issue with only specific apps?,device_performance,software_update
852578,"Top iOS update, erased all my @115948 downloads! 😡 @AppleSupport any help?","@322541 Hey, we'll help you get your music back. Send us a DM and we'll take a look into this together. https://t.co/GDrqU22YpT",apple_app_service,software_update
2355870,@AppleSupport I followed this guide https://t.co/QSyOVVxJVp (logged out and deleted all data) so activation lock should not be on?,"@680600 Can you DM us a screenshot of what you see on your device? Also, if you log into https://t.co/MdGttkkFL9 with your old email address, do you see the device under Find My?",apple_id_account,software_update
2567097,@AppleSupport (in the current environment we are never sure that the activation lock screen is from iOS ...),@728195 We want to do our best to address your concerns. Let's go ahead and meet in DM and we'll continue there. https://t.co/GDrqU2kzhr,apple_id_account,software_update
2503729,Hey @115858 thanks for forcing an iOS on iPhone users that makes a formerly functional phone act like an Android with a virus. People pay more for your products to NOT have these problems. Consumers are getting sick of this. PS I have a 7 plus - the processor should handle updates,@714059 We'd like to hear more about what's going on. What issues are you experiencing with your iPhone 7 Plus?,device_performance,software_update
1173956,My phone freezes ALOT since my last software update. Please provide remedies? @AppleSupport,@396123 We'd love to help out. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU2kzhr,device_performance,software_update
644211,how long until we can connect and sync our phones to itunes through bluetooth/wirelessly? @115858,@272909 Syncing of iOS devices to iTunes is available over Wi-Fi. Take a look at this article: https://t.co/048FvsiWf8,connectivity,apple_app_service
2683660,@AppleSupport What is the status of an annual subscription to #Apple music family plan?,"@240308 While we can't speculate on future changes to our available subscriptions, we appreciate your interest and encourage you to stay up to date on Apple news here: https://t.co/gbIPLOsnZd",purchase_payment_order,apple_app_service
