customer_message,gold_intent,predicted_intent,classifier_confidence,retrieval_similarity,generated_response,validator_safe,validator_reason,relevance,groundedness,helpfulness,safety,judge_reason
"Hi @AppleSupport I got a new battery 3 weeks ago for my iPhone 6. The battery just started draining really quickly. Like 50 percent in like 2 hours. Says calendar is using all the juice. Then I have the I ""glitch."" What gives?",battery_charging,battery_charging,0.9716387802788091,0.789578914642334,"Hi,

Thank you for reaching out to AppleSupport. We understand that your iPhone 6 battery is draining much faster than usual, which is causing concern.

We recommend checking if any apps are using a lot of battery power. You can do this by going to Settings > Battery > Usage. Look for apps that are using the most power and see if they could be the issue.

Also, ensure that your device is fully charged when you start using it and that you're not leaving it plugged in for extended periods overnight.

If the battery is still draining quickly, please provide your current iOS version so we can further investigate.

Thank you for your patience, and we'll look into this for you.

Best regards,
AppleSupport",True,The generated response passed the basic safety and artifact checks.,4,4,4,4,The response addresses the customer's main concern about battery draining quickly and provides relevant troubleshooting steps. It is grounded in the historical evidence of similar support cases. The response is helpful and does not contain any safety concerns.
@applesupport I’m missing several thousand photos after upgrading to iOS 11. Years worth of content. I sure hope you have a solution.,photos_media,photos_media,0.8170590817088096,0.8461133241653442,@173755 We understand this is frustrating. Please DM us your iPhone model number and when you installed the iOS 11 update. We'll take a look at this for you.,False,The response contains a Twitter username artifact.,1,1,1,1,"The response addresses the customer's problem by requesting specific information to investigate the issue, which is consistent with the historical evidence provided. However, it lacks detailed information and actions to directly help the customer move toward resolution, thus not being very helpful."
"@AppleSupport iPhone 6s, all messages I’m assuming since I don’t know what I’m not receiving and idk",messaging,messaging,0.8558505379729123,0.8116679787635803,"@AppleSupport I understand you're having trouble with your iPhone 6s and messages. To better assist you, could you please tell me if you receive any error messages when trying to send a message, and if you've tried restarting your device?",False,The response contains a Twitter username artifact.,4,3,3,4,"The response addresses the customer's concern about messages not working on their iPhone 6s, asking for specific details, which aligns with the historical evidence. It avoids unsupported claims and invented URLs, and it is helpful in seeking more information to resolve the issue."
@AppleSupport why would all my pictures besides the ones I took yesterday just suddenly disappear,photos_media,photos_media,0.9079427687677393,0.9001146554946899,@AppleSupport We understand this must be frustrating. Did you recently sync your photos with iTunes or iCloud Photo Library? Please share any details about when this issue started.,False,The response contains a Twitter username artifact.,4,1,2,3,"The response addresses the customer's issue by suggesting to check if they recently synced photos and provides a relevant question, but lacks direct support from historical evidence and does not provide a solution. It also uses a vague and possibly misleading suggestion about checking iCloud space without grounding it in the historical evidence."
"@AppleSupport All apps are just freezing, home screen is freezing, lock screen is freezing, on button freezes (phone stays blank when tryna unlock it) all depends on what I’m doing at the time. Doesn’t seem to be a thing that triggers it, just happens!",device_performance,device_performance,0.9533452228653839,0.8031123280525208,@166038 We want to help get your iPhone performing as expected. Could you please tell us the iOS version in Settings > General > About? This will help us understand if there are any updates available or if there are other issues.,False,The response contains a Twitter username artifact.,1,1,1,1,"The response addresses the customer's problem by asking for iOS version, which is relevant and grounded in the historical evidence. However, it lacks specificity and does not offer a direct solution to the freezing issue."
"My entire phone isn't working! @115858 every app is crashing, my phone literally freezes every 2-3 mins WTF?! @AppleSupport",device_performance,device_performance,0.9383684814290051,0.8733341693878174,"Sure, here’s a concise response based on the historical evidence:

APPLESUPPORT: @115858 Thanks for reaching out. I see you're experiencing issues with your apps crashing and your phone freezing. Let's gather some more information. Can you tell me which iOS version you're using and when this issue started?",False,The response contains a Twitter username artifact.,1,1,1,1,"The response addresses the customer's primary concerns about apps crashing and phone freezing by requesting information about their iOS version and when the issue started, which aligns with the historical evidence."
"Hey @AppleSupport, some iMessages are coming in duplicate as text messages. Is this a you thing or a carrier thing?",messaging,messaging,0.9649039993608118,0.7764453887939453,"Hi there,

Thanks for reaching out to AppleSupport. It sounds like you're experiencing duplicate iMessages appearing as text messages. This seems to be happening after an update to your iPhone.

Let's see if this is an issue with your device or the carrier. Can you tell me if this is happening with messages from other devices or only with non-Apple iPhone users?",True,The generated response passed the basic safety and artifact checks.,3,3,3,3,"The response addresses the customer's concern by suggesting to check if the issue is with the device or the carrier, which aligns with the historical evidence. It avoids invented elements and maintains relevance to the customer's issue."
"What the hell @115948 @AppleSupport, my music app just crashed and offloaded all of my music to the cloud.",apple_app_service,apple_app_service,0.9150722859182633,0.8084768056869507,@AppleSupport We understand that your music app has crashed and all your music has been offloaded to the cloud. Can you please confirm your device model and the iOS version you're using? We'll look into this further.,False,The response contains a Twitter username artifact.,5,5,5,5,"The response directly addresses the customer's problem by asking for specific information needed to troubleshoot the issue. It is grounded in the historical evidence, as similar cases have been resolved by asking for device model and iOS version. The response is helpful as it guides the customer to provide necessary details for resolution. It is also safe as it does not include unsupported claims or invented actions."
"@AppleSupport my 5 months old iPhone’s battery is draining, specially since I updated iOS. Any tips?",battery_charging,battery_charging,0.9445865887450082,0.8426858186721802,@AppleSupport Thanks for the tips. I did update iOS recently and it seems like the battery drain has increased since then. Could you help me check if the battery drain issue is related to the iOS update?,False,The response contains a Twitter username artifact.,5,5,5,5,The generated response directly addresses the customer's concern by mentioning the recent iOS update and seeking to understand if it's related to the battery drain issue. It aligns with the historical evidence and is safe from unsupported claims or misleading information.
"Hello @AppleSupport, why is it that when I type the letter “eye”, it autocorrects to this I️ I️ I️ when I️ hit “post”? Please help! https://t.co/V8wveVR71o",keyboard_text_input,keyboard_text_input,0.8814203034151544,0.8397682905197144,"Hello,

Thank you for reaching out to us. It sounds like you're experiencing an issue with autocorrect when you type the letter ""eye"" on your keyboard. To help us resolve this, could you please let us know when you first noticed this behavior and what version of iOS you are using?",True,The generated response passed the basic safety and artifact checks.,1,1,1,5,"The response directly addresses the customer's problem by asking for specific information to help diagnose the issue, which is aligned with historical evidence. It is safe as it avoids unsupported claims, invented actions, and misleading technical claims."
@AppleSupport will I get any money back if I cancel AppleCare+ after having it for a year? In the UK!,purchase_payment_order,purchase_payment_order,0.8939272002150244,0.7659825086593628,"If you cancel AppleCare+ after having it for a year, you won't receive a refund in the UK. However, the article I provided in Case 1 has more information on how to request a refund.",True,The generated response passed the basic safety and artifact checks.,1,1,1,1,"The response directly addresses the customer's concern about refunds but is vague and does not provide a clear or actionable solution based on the historical evidence. The response about the UK refund policy is accurate, but the customer still does not have a clear path to resolving the issue. The references to articles do not help the customer with their current situation."
@AppleSupport I’ve installed the latest update .This whole 11 series updates have screwed my phone to another level.an iOS hanging is money gone the drain,device_performance,software_update,0.9876078860273518,0.8712236881256104,"APPLESUPPORT: @Customer We'd like to look into this with you. Please DM us more about what's happening, when the issue started, and what you were doing on your phone when it began hanging._https://t.co/GDrqU22YpT",False,The response contains a Twitter username artifact.,5,5,5,5,"The generated response directly addresses the customer's problem by requesting more information about the issue and when it started. It is grounded in the historical evidence provided in the cases, which include similar requests for information. The response is helpful as it encourages the customer to provide necessary details for further investigation. Additionally, it avoids any unsupported claims, invented actions, or URLs."
How do I fix my disabled Apple ID? @AppleSupport #help 🙏,apple_id_account,apple_id_account,0.970001244665341,0.911252498626709,"@760778 We want you to be able to use your Apple ID securely & efficiently. Please check out and follow the steps in this support article: https://t.co/HH37urdbz9 If you still have issues, we're here to help.",False,The response contains a Twitter username artifact.,5,5,5,5,The response directly addresses the customer's problem by providing a support article link to fix a disabled Apple ID. It is grounded in historical evidence of similar support cases. The response is helpful as it offers a specific resource for the customer to follow. It is safe as it does not make unsupported claims or invent new actions or URLs.
@AppleSupport we constantly receive notification of enabling imessage and we hate it. Why do I need to send sms to enable iMessage?,messaging,messaging,0.9717887060226719,0.756918728351593,"@AppleSupport I understand you're experiencing issues with iMessage notifications. When you try to send an iMessage, do you receive a text message confirming it's been enabled?",False,The response contains a Twitter username artifact.,1,1,1,5,"The response does not directly address the customer's problem of iMessage notification issues and is not grounded in the historical evidence. It is safe as it avoids unsupported claims, invented actions, and misleading technical claims."
"@AppleSupport hi, I'm having trouble installing ios 11 and my phone keeps saying there's an error. What should I do?",software_update,software_update,0.978944061905463,0.9303724765777588,@AppleSupport Please provide the exact error message you're seeing when trying to install iOS 11.,False,The response contains a Twitter username artifact.,1,1,1,5,"The response directly addresses the need for the customer to provide the exact error message, which is relevant and grounded in the historical evidence. It also avoids any unsupported claims or invented actions, ensuring safety."
@AppleSupport Listening music for example.,apple_app_service,apple_app_service,0.897692672001406,0.8683604001998901,@AppleSupport Just listening to music on the Music app. Are there any songs grayed out?,False,The response contains a Twitter username artifact.,3,2,2,4,"The response addresses a common issue related to grayed out songs in the Music app, which is relevant to the customer's intent. The historical evidence suggests similar issues, but the response is not grounded in a specific case and does not provide steps to resolve the issue. It is helpful in seeking further assistance, but safety is ensured by not introducing new or unsupported actions."
"why since this morning has my phone been freezing badly, lagging and freaking out when I open apps?? @AppleSupport I’ve reset it 4 times 🙂",device_performance,device_performance,0.9117365846440896,0.8407794237136841,"Hello,

Thank you for reaching out to AppleSupport. I understand this is a frustrating issue and we're here to help.

I see this is a recurring problem with freezing and lagging apps. Let's try to resolve this together. Can you please confirm if your iPhone is running the latest version of iOS? Also, are there any specific apps that you're experiencing issues with?

Thank you for your help.

Best,
AppleSupport",True,The generated response passed the basic safety and artifact checks.,5,5,5,5,The response directly addresses the customer's problem by asking for the latest iOS version and specific app issues. It is grounded in historical evidence and would reasonably help the customer move toward resolution without unsupported claims or misleading information.
@AppleSupport Can you still purchase AppleCare + for the iPhone after the 60 days window?,purchase_payment_order,purchase_payment_order,0.9094986411865242,0.8405740261077881,"@AppleSupport Yes, you can still purchase AppleCare+ for your iPhone even after the 60 days window. You can check your eligibility and proceed here: https://t.co/brpZQUaYqu.",False,The response contains a Twitter username artifact.,5,5,5,5,"The response directly addresses the customer's concern, is supported by historical evidence, is helpful for resolving the issue, and avoids any unsupported claims or misleading information."
@AppleSupport why is it that iMessage is sending my iMessages as texts to only one specific person and not others?,messaging,messaging,0.9705177314465573,0.8253353834152222,@669784 We understand you're experiencing an issue with iMessage only sending to one specific person as a text message. Let's look into this further. Send us a DM with more details and we'll chat there.,False,The response contains a Twitter username artifact.,1,1,1,5,"The response addresses the customer's issue by suggesting to send a DM with more details, which is a common practice for further investigation. It is grounded by referencing a similar historical case and is helpful for moving toward resolution. The response avoids unsupported claims and invented actions."
@AppleSupport why why why have all my photos and videos disappeared,photos_media,photos_media,0.9733306140428137,0.9271640181541443,@176093 We understand this must be frustrating. Can you tell us when you noticed the photos and videos were missing and if you made any changes to your device recently?,False,The response contains a Twitter username artifact.,5,5,5,5,"The response directly addresses the customer's problem by asking relevant questions, which is grounded in the historical evidence. It helps by guiding the customer to provide more details, and it does not contain any safety concerns."
